SampleID	Type	TypeII	tanda
#q2:types	categorical	categorical	numeric
NGS069-23_16S_29	Equine	Burro_1	2
NGS069-23_16S_30	Equine	Burro_4	2
NGS069-23_16S_31	Ovine	Oveja_1	2
NGS069-23_16S_32	Ovine	Oveja_4	2
NGS069-23_16S_35	livestock_exclusion	Control_1	2
NGS069-23_16S_36	livestock_exclusion	Control_4	2
NGS001-23_16S_41	Equine	Burro_2	3
NGS001-23_16S_42	Equine	Burro_3	3
NGS001-23_16S_43	Ovine	Oveja_2	3
NGS001-23_16S_44	Ovine	Oveja_3	3
NGS001-23_16S_47	livestock_exclusion	Control_2	3
NGS001-23_16S_48	livestock_exclusion	Control_3	3
NGS069-24-16S-1	Equine+c	Burro_8M_1	4
NGS069-24-16S-2	Equine+c	Burro_8M_2	4
NGS069-24-16S-3	Equine+c	Burro_8M_3	4
NGS069-24-16S-4	ovine+c	Oveja_8M_1	4
NGS069-24-16S-5	ovine+c	Oveja_8M_2	4
NGS069-24-16S-6	ovine+c	Oveja_8M_3	4
NGS069-24-16S-7	Livestock_exc+c	control_compost_8M_1	4
NGS069-24-16S-8	Livestock_exc+c	control_compost_8M_2	4
NGS069-24-16S-9	Livestock_exc+c	control_compost_8M_3	4
