id	Type	faith_pd
#q2:types	categorical	numeric
NGS069-23_16S_29	Equine	24.8227030787175
NGS069-23_16S_30	Equine	75.6122666709708
NGS069-23_16S_31	Ovine	76.9155945296656
NGS069-23_16S_32	Ovine	81.760169862067
NGS069-23_16S_35	livestock_exclusion	57.5614603059885
NGS069-23_16S_36	livestock_exclusion	64.4895346903802
NGS001-23_16S_41	Equine	78.190263248304
NGS001-23_16S_42	Equine	78.5790063553872
NGS001-23_16S_43	Ovine	68.9229446799562
NGS001-23_16S_44	Ovine	96.1351037671362
NGS001-23_16S_47	livestock_exclusion	82.2338955403025
NGS001-23_16S_48	livestock_exclusion	85.1476714160956
NGS069-24-16S-1	Equine+c	75.9436010947246
NGS069-24-16S-2	Equine+c	79.4427087799258
NGS069-24-16S-3	Equine+c	83.1440131564769
NGS069-24-16S-4	ovine+c	82.2007473740899
NGS069-24-16S-5	ovine+c	76.0601781390621
NGS069-24-16S-6	ovine+c	112.741726872875
NGS069-24-16S-7	Livestock_exc+c	80.4610002558103
NGS069-24-16S-8	Livestock_exc+c	82.2570894102214
NGS069-24-16S-9	Livestock_exc+c	89.8242342067876
