,0
NGS069-24-16S-1,78445.0
NGS069-24-16S-8,77877.0
NGS069-24-16S-9,77342.0
NGS069-24-16S-6,66627.0
NGS001-23_16S_47,64087.0
NGS001-23_16S_42,63359.0
NGS001-23_16S_41,61701.0
NGS001-23_16S_48,60500.0
NGS069-23_16S_36,59472.0
NGS069-24-16S-2,56704.0
NGS001-23_16S_44,55390.0
NGS001-23_16S_43,53871.0
NGS069-23_16S_35,49735.0
NGS069-23_16S_32,49709.0
NGS069-24-16S-4,46886.0
NGS069-24-16S-3,45002.0
NGS069-23_16S_31,40553.0
NGS069-24-16S-5,38048.0
NGS069-24-16S-7,37496.0
NGS069-23_16S_30,30217.0
NGS069-23_16S_29,10348.0
